roi_key,major_selectivity,top_k,local_ed,global_ed,avg_topk_zscore,n_units
03.MB1.B,B,180,4.351433486341823,7.575937127256244,0.6943024396896362,690
06.Unknown.B,B,60,4.64820522040411,6.443402089717824,0.9749871492385864,323
08.MB1.B,B,10,7.378327971971777,,1.0749914646148682,45
09.Unknown.B,B,85,10.70203794463379,11.830440778189613,0.3153197169303894,104
12.AB3.B,B,85,5.114600566006282,7.496923492865385,0.785155177116394,402
12.MB3.B,B,25,4.070749521797668,4.594493510829515,0.9475531578063965,782
17.AB3.B,B,195,5.22300483934688,6.09961599001116,1.0569013357162476,391
18.AB3.B,B,30,4.95025395284478,,1.3556288480758667,124
20.MB2.B,B,155,3.799108731156442,4.522513387964466,0.40489575266838074,738
20.Unknown.B,B,195,7.827550397464657,9.638568349822847,0.7715314626693726,111
23.Unknown.B,B,195,15.68124836062648,,0.5359345078468323,31
27.Unknown.B,B,45,4.2815603232229105,4.974446252260141,0.9946881532669067,473
05.Unknown.F,F,10,6.57361193227734,10.502706457650515,0.4978179931640625,129
07.MF1.F,F,60,5.659888128416112,9.702565009651074,1.074518084526062,286
08.MF1.F,F,30,2.8960956877083834,4.552828895152089,1.2563005685806274,1630
09.MF1.F,F,45,7.513818818299068,12.205512116851535,1.1920771598815918,262
18.AF3.F,F,120,6.679496723391296,8.451209887506101,1.040216088294983,365
19.Unknown.F,F,30,6.540449589054757,11.517009777520629,0.6395804286003113,236
01.LPP4.O,O,20,6.766919571419962,12.390405718418103,0.21615830063819885,449
02.LPP1.O,O,195,8.970303639401145,,0.6098414063453674,48
04.MO1s1.O,O,40,4.612672735002276,7.269878320907531,0.8365432620048523,75
04.Unknown.O,O,80,5.9903305092308194,6.0322310489846505,0.7750736474990845,170
05.MO1s2.O,O,10,6.951898541450316,8.891638705410365,0.30906039476394653,366
06.Unknown.O,O,10,6.437790216149422,10.128113750417908,0.6302604675292969,241
10.PITP4.O,O,25,4.254996514367236,6.466181985380758,1.1694157123565674,683
11.Unknown.O,O,50,4.554929790219329,8.902632335443254,0.4777727425098419,513
13.CLC3.O,O,40,7.663486246338971,6.528462340466577,1.2901332378387451,486
14.Unknown.O,O,85,5.0381458439975,6.771327984929181,0.4662425220012665,309
15.Unknown.O,O,55,7.330072373375644,9.128877697205263,0.39805272221565247,272
16.Unknown.O,O,195,11.374142681508992,12.694874052300618,0.21289414167404175,71
21.MO2.O,O,5,5.01469069907231,7.262208973953619,0.4052812159061432,729
22.Unknown.O,O,5,5.719000985388087,10.001942138288598,0.38007551431655884,213
24.AO2.O,O,5,4.876628463138165,12.632527338871267,0.6391193270683289,32
25.AO5.O,O,10,4.681948547010275,6.090970957139561,1.9527466297149658,294
26.Unknown.O,O,20,5.587714599667252,9.722602107833264,0.3884110450744629,137
